Date,Open,High,Low,Close,Volume,Daily_Return,SMA_20,SMA_50,SMA_200,EMA_20,Rolling_Volatility_20,High_Low_Difference,Open_Close_Difference
2021-08-30,149.0,153.49000549316406,148.61000061035156,153.1199951171875,90956700.0,,,,,153.1199951171875,,4.8800048828125,-4.1199951171875
2021-08-31,152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,86453100.0,-0.8424721311841354,,,,152.99713861374627,,1.510009765625,0.8300018310546875
2021-09-01,152.8300018310547,154.97999572753906,152.33999633789062,152.50999450683594,80313700.0,0.44786449817599827,,,,152.95074393689765,,2.6399993896484375,0.32000732421875
2021-09-02,153.8699951171875,154.72000122070312,152.39999389648438,153.64999389648438,71115500.0,0.7474915944589711,,,,153.01733917114402,,2.32000732421875,0.220001220703125
2021-09-03,153.75999450683594,154.6300048828125,153.08999633789062,154.3000030517578,57808700.0,0.42304535053308,,,,153.1394976359644,,1.540008544921875,-0.540008544921875
2021-09-07,154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,82278300.0,1.548930228372547,,,,153.47764095076838,,2.8699951171875,-1.720001220703125
2021-09-08,156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,74420200.0,-1.0083616098260806,,,,153.63310377549058,,3.05999755859375,1.8699951171875
2021-09-09,155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,57305700.0,-0.6704875778740793,,,,153.67471363727424,,2.160003662109375,1.4199981689453125
2021-09-10,155.0,155.47999572753906,148.6999969482422,148.97000122070312,140893200.0,-3.3101874869022163,,,,153.22664578807698,,6.779998779296875,6.029998779296875
2021-09-13,150.6300048828125,151.4199981689453,148.75,149.5500030517578,102404300.0,0.3893413615506436,,,,152.87648933699896,,2.6699981689453125,1.0800018310546875
2021-09-14,150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,109296300.0,-0.9562072252685905,,,,152.4234898874931,,4.160003662109375,2.230010986328125
2021-09-15,148.55999755859375,149.44000244140625,146.3699951171875,149.02999877929688,83281300.0,0.6143692223250508,,,,152.1003002581411,,3.07000732421875,-0.470001220703125
2021-09-16,148.44000244140625,148.97000122070312,147.22000122070312,148.7899932861328,68034100.0,-0.16104508832446296,,,,151.78503292747362,,1.75,-0.3499908447265625
2021-09-17,148.82000732421875,148.82000732421875,145.75999450683594,146.05999755859375,129868800.0,-1.8347979371765355,,,,151.23979146377076,,3.0600128173828125,2.760009765625
2021-09-20,143.8000030517578,144.83999633789062,141.27000427246094,142.94000244140625,123478900.0,-2.136105141269684,,,,150.44933536640272,,3.5699920654296875,0.8600006103515625
2021-09-21,143.92999267578125,144.60000610351562,142.77999877929688,143.42999267578125,75834000.0,0.3427943374884501,,,,149.78082653872448,,1.82000732421875,0.5
2021-09-22,144.4499969482422,146.42999267578125,143.6999969482422,145.85000610351562,76404300.0,1.6872436389261614,,,,149.4064626877522,,2.7299957275390625,-1.4000091552734375
2021-09-23,146.64999389648438,147.0800018310547,145.63999938964844,146.8300018310547,64838200.0,0.6719202513049805,,,,149.1610854633048,,1.44000244140625,-0.1800079345703125
2021-09-24,145.66000366210938,147.47000122070312,145.55999755859375,146.9199981689453,53477900.0,0.06129288072487249,,,,148.9476485781277,,1.910003662109375,-1.2599945068359375
2021-09-27,145.47000122070312,145.9600067138672,143.82000732421875,145.3699951171875,74150700.0,-1.0549980064493591,149.65699920654296,,,148.60691967708578,,2.1399993896484375,0.100006103515625
2021-09-28,143.25,144.75,141.69000244140625,141.91000366210938,108972300.0,-2.38012765446467,149.09649963378905,,,147.96911815184993,1.324148805479512,3.05999755859375,1.339996337890625
2021-09-29,142.47000122070312,144.4499969482422,142.02999877929688,142.8300018310547,74602000.0,0.6482969101571312,148.64649963378906,,,147.47967850225038,1.3380989213248642,2.4199981689453125,-0.3600006103515625
2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,89056700.0,-0.9311781936598096,148.09599990844725,,,146.91018531155987,1.3332460051190538,3.100006103515625,2.160003662109375
2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,94639600.0,0.812716534617941,147.54599990844727,,,146.5044527958384,1.3361881460235427,3.80999755859375,-0.75
2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,98322000.0,-2.460564077824645,146.7879997253418,,,145.80307628096318,1.4010046957125053,3.94000244140625,2.6199951171875
2021-10-05,139.49000549316406,142.24000549316406,139.36000061035156,141.11000061035156,80861100.0,1.4158410445197056,146.00899963378907,,,145.35611669328588,1.3910091545104455,2.8800048828125,-1.6199951171875
2021-10-06,139.47000122070312,142.14999389648438,138.3699951171875,142.0,83221100.0,0.630713192402288,145.35349960327147,,,145.03648653202055,1.4084637260771184,3.779998779296875,-2.529998779296875
2021-10-07,143.05999755859375,144.22000122070312,142.72000122070312,143.2899932861328,61732700.0,0.9084459761498742,144.8144989013672,,,144.870153841936,1.43827245662479,1.5,-0.2299957275390625
2021-10-08,144.02999877929688,144.17999267578125,142.55999755859375,142.89999389648438,58773200.0,-0.272174895611621,144.51099853515626,,,144.6825195614168,1.2586255552978474,1.6199951171875,1.1300048828125
2021-10-11,142.27000427246094,144.80999755859375,141.80999755859375,142.80999755859375,64452200.0,-0.06297854565047167,144.17399826049805,,,144.5041841325765,1.2515182031880807,3.0,-0.5399932861328125
2021-10-12,143.22999572753906,143.25,141.0399932861328,141.50999450683594,73035900.0,-0.9103025516294383,143.84349822998047,,,144.21902321583931,1.2501437638460358,2.2100067138671875,1.720001220703125
2021-10-13,141.24000549316406,141.39999389648438,139.1999969482422,140.91000366210938,78762700.0,-0.42399185076470447,143.4374984741211,,,143.90387849643648,1.235116775775482,2.1999969482421875,0.3300018310546875
2021-10-14,142.11000061035156,143.8800048828125,141.50999450683594,143.75999450683594,69907100.0,2.022561046524851,143.18599853515624,,,143.89017525933167,1.3377320404354442,2.3700103759765625,-1.649993896484375
2021-10-15,143.77000427246094,144.89999389648438,143.50999450683594,144.83999633789062,67940300.0,0.7512533892058082,143.1249984741211,,,143.9806344096706,1.2918565942125095,1.3899993896484375,-1.0699920654296875
2021-10-18,143.4499969482422,146.83999633789062,143.16000366210938,146.5500030517578,85589200.0,1.180617755525204,143.30549850463868,,,144.2253361851075,1.2186095427032722,3.67999267578125,-3.100006103515625
2021-10-19,147.00999450683594,149.1699981689453,146.5500030517578,148.75999450683594,76378900.0,1.508011879261173,143.5719985961914,,,144.65720840622447,1.2564898501333905,2.6199951171875,-1.75
2021-10-20,148.6999969482422,149.75,148.1199951171875,149.25999450683594,58418800.0,0.3361118704377386,143.74249801635742,,,145.09556898723508,1.2071116365679977,1.6300048828125,-0.55999755859375
2021-10-21,148.80999755859375,149.63999938964844,147.8699951171875,149.47999572753906,61421000.0,0.14739463272126496,143.87499771118163,,,145.5131334386926,1.2002264979034596,1.7700042724609375,-0.6699981689453125
2021-10-22,149.69000244140625,150.17999267578125,148.63999938964844,148.69000244140625,58883400.0,-0.5284943194491021,143.9634979248047,,,145.815692391332,1.2083510903634387,1.5399932861328125,1.0
2021-10-25,148.67999267578125,149.3699951171875,147.6199951171875,148.63999938964844,50720600.0,-0.03362906109138919,144.12699813842772,,,146.08467401021926,1.1796857837021397,1.75,0.0399932861328125
2021-10-26,149.3300018310547,150.83999633789062,149.00999450683594,149.32000732421875,60893400.0,0.4574865025313457,144.49749832153321,,,146.39280099250493,1.023768531400418,1.8300018310546875,0.0099945068359375
2021-10-27,149.36000061035156,149.72999572753906,148.49000549316406,148.85000610351562,56094900.0,-0.31476104851951847,144.79849853515626,,,146.6268205268869,1.0271772215862174,1.239990234375,0.5099945068359375
2021-10-28,149.82000732421875,153.1699981689453,149.72000122070312,152.57000732421875,100077900.0,2.499160946030532,145.35199890136718,,,147.192838317109,1.1094102123974332,3.4499969482421875,-2.75
2021-10-29,147.22000122070312,149.94000244140625,146.41000366210938,149.8000030517578,124953200.0,-1.81556278395828,145.70949935913086,,,147.44113972040887,1.207205499233661,3.529998779296875,-2.5800018310546875
2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,74588300.0,-0.5607452074619768,146.20049972534179,,,147.58579371978587,1.046612732428787,1.899993896484375,0.029998779296875
2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,69122000.0,0.7115987586049588,146.64599990844727,,,147.81762329623112,1.0202663263613578,2.920013427734375,-1.3600006103515625
2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,54511500.0,0.9798701365408391,147.12050018310546,,,148.1673739816533,1.0289653775930072,2.149993896484375,-1.100006103515625
2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,60394600.0,-0.3498572579567205,147.50400085449218,,,148.4333390037689,1.0301387841167504,1.7899932861328125,0.6199951171875
