,count,mean,std,min,25%,50%,75%,max
Open,1254.0,201.04783890159888,47.81467227131152,126.01000213623048,164.2750015258789,189.36000061035156,232.42999649047857,340.0299987792969
High,1254.0,203.27574990620835,48.26418014232932,127.7699966430664,166.22249603271484,190.7399978637695,234.31750106811523,344.57000732421875
Low,1254.0,199.05891531620298,47.44863635265629,124.16999816894533,162.33250045776367,187.88999938964844,229.70249938964844,337.3500061035156
Close,1254.0,201.2663794887123,47.894574590547705,125.0199966430664,164.8550033569336,189.63999938964844,232.79500198364258,340.0799865722656
Volume,1254.0,64372178.30940989,28661638.493419982,17910600.0,45229050.0,55974650.0,76155400.0,318679900.0
