Horizon,Selected_Model,MAE,MSE,RMSE,R2,Test_Windows
1-Day,SARIMA,3.45125777714672,19.691380714583257,4.437497122769011,0.960659172117201,40
3-Day,SARIMA,6.261874214054513,54.40814016439482,7.3761873731891345,0.90272187741973,40
10-Day,XGBoost,13.010739376670436,238.4694045378373,15.442454615048648,0.5903464778241343,38
15-Day,Prophet,14.324315451533236,320.7388943801886,17.909184637503422,0.4627379678045025,37
